ANO,SG_UF_ESC,DEPENDENCIA,N_INSCRITOS,N_PARTICIPANTES_D1,N_PARTICIPANTES_D2,N_PARTICIPANTES_D1D2,PERC_PARTIC_D1,PERC_PARTIC_D2,PERC_PARTIC_D1D2,MEDIA_CH,MEDIA_LC,MEDIA_CN,MEDIA_MT,MEDIA_REDACAO,MEDIA_GERAL,MEDIA_COMP1,MEDIA_COMP2,MEDIA_COMP3,MEDIA_COMP4,MEDIA_COMP5,N_REDACOES,N_RED_SEM_PROBLEMAS,N_RED_ANULADA,N_RED_COPIA_TEXTO_MOTIVADOR,N_RED_EM_BRANCO,N_RED_FERE_DH,N_RED_FUGA_TEMA,N_RED_TIPO_TEXTUAL,N_RED_TEXTO_INSUFICIENTE,N_RED_PARTE_DESCONECTADA,PERC_RED_SEM_PROBLEMAS,PERC_RED_ANULADA,PERC_RED_COPIA_TEXTO_MOTIVADOR,PERC_RED_EM_BRANCO,PERC_RED_FERE_DH,PERC_RED_FUGA_TEMA,PERC_RED_TIPO_TEXTUAL,PERC_RED_TEXTO_INSUFICIENTE,PERC_RED_PARTE_DESCONECTADA
2017,MG,Municipal,2494,1937,1835,1834,"77,67","73,58","73,54","524,96","514,33","520,62","530,54","524,76","525,75","118,26","112,07","106,44","107,7","80,29",1937,1840,0,0,17,0,72,1,4,3,"94,99",0,0,"0,88",0,"3,72","0,05","0,21","0,15"
2017,MG,Privada,23116,22544,22357,22340,"97,53","96,72","96,64","605,73","570,39","592,64","650,2","708,36","626,11","145,32","145,5","144,34","146,04","127,18",22544,22354,0,4,30,0,141,1,13,1,"99,16",0,"0,02","0,13",0,"0,63",0,"0,06",0
2017,MS,Estadual,17988,13592,12637,12609,"75,56","70,25","70,1","490,22","486,44","491,84","490,03","480,82","490,71",108,"106,2","97,28","100,18","69,15",13592,12644,5,14,139,0,709,22,47,12,"93,03","0,04","0,1","1,02",0,"5,22","0,16","0,35","0,09"
2017,MS,Federal,690,627,612,610,"90,87","88,7","88,41","566,11","551,42","560,51","591,28","621,44","579,08","132,82","129,03","127,72","129,86","102,01",627,615,0,0,3,0,9,0,0,0,"98,09",0,0,"0,48",0,"1,44",0,0,0
2017,MS,Municipal,57,37,36,36,"64,91","63,16","63,16","466,17","447,73","477,76","447,28","431,89","454,83","95,68",100,"90,27","92,43","53,51",37,36,0,0,0,0,0,0,1,0,"97,3",0,0,0,0,0,0,"2,7",0
2017,MS,Privada,3053,2772,2693,2690,"90,8","88,21","88,11","569,22","547,95","569,14","601,68","662,76","592,51","137,99","139,29","135,22","138,03","112,23",2772,2711,0,1,14,0,39,2,3,2,"97,8",0,"0,04","0,51",0,"1,41","0,07","0,11","0,07"
2017,MT,Estadual,25684,19796,18504,18444,"77,08","72,04","71,81","485,87","477,33","485,17","481,51","466,25","482,06","104,17","103,07","94,14","96,46","68,42",19796,18038,2,26,322,0,1232,17,124,35,"91,12","0,01","0,13","1,63",0,"6,22","0,09","0,63","0,18"
2017,MT,Federal,1598,1521,1496,1494,"95,18","93,62","93,49","559,36","535,39","549,11","563,83","624,67","567,57","132,43","131,4","127,46","128,27","105,12",1521,1501,1,0,3,0,15,0,1,0,"98,69","0,07",0,"0,2",0,"0,99",0,"0,07",0
2017,MT,Municipal,131,81,74,73,"61,83","56,49","55,73","479,47","462,27","475,3","456,8","403,21","458,34","88,64","91,85","81,98","83,95","56,79",81,70,0,0,3,0,7,0,0,1,"86,42",0,0,"3,7",0,"8,64",0,0,"1,23"
2017,MT,Privada,3963,3733,3676,3668,"94,2","92,76","92,56","560,72","534,99","554,11","579,07","651,19","577,32","135,27","136,53","132,03","135,06","112,29",3733,3638,0,2,16,0,68,0,8,1,"97,46",0,"0,05","0,43",0,"1,82",0,"0,21","0,03"
2017,PA,Estadual,60792,49172,46674,46573,"80,89","76,78","76,61","478,66","468,8","477,28","468,03","476,71","475,98","104,12","105,08","96,55","98,38","72,57",49172,44885,21,87,453,0,3315,42,279,90,"91,28","0,04","0,18","0,92",0,"6,74","0,09","0,57","0,18"
2017,PA,Federal,1191,1109,1089,1087,"93,12","91,44","91,27","561,38","531,06","546,68","563,16","625,27","566,98","129,94","130,86","127,65","129,74","107,09",1109,1071,0,0,4,0,32,0,2,0,"96,57",0,0,"0,36",0,"2,89",0,"0,18",0
2017,PA,Municipal,2519,1885,1756,1754,"74,83","69,71","69,63","465,29","455,09","469,15","456,14","434,49","458,22","95,79","99,34","88,5","89,89","60,98",1885,1691,1,3,10,0,157,0,12,11,"89,71","0,05","0,16","0,53",0,"8,33",0,"0,64","0,58"
2017,PA,Privada,11150,10673,10534,10523,"95,72","94,48","94,38","563,04","532,44","549,16","562,34","669,5","576,3","136,2","139,02","135,84","138,79","119,66",10673,10431,0,5,35,0,180,0,17,5,"97,73",0,"0,05","0,33",0,"1,69",0,"0,16","0,05"
2017,PB,Estadual,23341,20227,19501,19473,"86,66","83,55","83,43","481,23","475,94","479,96","478,26","491,56","483,26","107,61","107,09","98,56","100,67","77,62",20227,18688,4,19,202,0,1164,14,115,21,"92,39","0,02","0,09",1,0,"5,75","0,07","0,57","0,1"
2017,PB,Federal,1200,1132,1116,1115,"94,33",93,"92,92","564,91","542,34","544,21","584,08","627,9","574,05","132,92","130,87","127,42","128,07","108,62",1132,1111,0,0,3,0,17,0,1,0,"98,14",0,0,"0,27",0,"1,5",0,"0,09",0
2017,PB,Municipal,205,153,143,142,"74,63","69,76","69,27","477,6","468,26","476,31","475,07","453,59","475,48","99,61","100,65","89,54","92,94","70,85",153,134,1,1,4,0,13,0,0,0,"87,58","0,65","0,65","2,61",0,"8,5",0,0,0
2017,PB,Privada,7055,6923,6876,6873,"98,13","97,46","97,42","564,21","536,1","548,97","580,94","668,47","580,39","137,89","138,16","135,21","138,35","118,85",6923,6795,3,4,15,0,101,0,3,2,"98,15","0,04","0,06","0,22",0,"1,46",0,"0,04","0,03"
2017,PE,Estadual,66028,54514,52085,51988,"82,56","78,88","78,74","485,95","482,48","483,14","489,34","486,96","487,96","107,3","106,75","98,35","99,98","74,58",54514,49872,26,90,828,0,3224,35,383,56,"91,48","0,05","0,17","1,52",0,"5,91","0,06","0,7","0,1"
